date,rv_cc_7d,rv_cc_14d,rv_cc_21d,rv_cc_30d,rv_cc_60d,rv_cc_90d,rv_park_7d,rv_park_14d,rv_park_21d,rv_park_30d,rv_park_60d,rv_park_90d,rv_gk_7d,rv_gk_14d,rv_gk_21d,rv_gk_30d,rv_gk_60d,rv_gk_90d,rv_yz_7d,rv_yz_14d,rv_yz_21d,rv_yz_30d,rv_yz_60d,rv_yz_90d
2019-12-08,0.2609232213922968,0.39398051418481944,0.503340873803292,0.45685173713360455,0.5949201350030612,0.5755531709757318,0.4306528420862767,0.5743596015244574,0.6066946270905048,0.5305989514328261,0.5568963410796579,0.5387658709867112,0.48360721514425764,0.6309606438994175,0.6423074393341337,0.5559481860155073,0.543253896787988,0.5238688606394196,0.4960189054007674,0.6345325107666198,0.6453693292773346,0.5579278548434629,0.5561060934278287,0.533747985966094
2019-12-09,0.2956911573685266,0.4132892456148882,0.49565300226808395,0.4599771511345975,0.5968944203850549,0.5756083517050076,0.43184491827615,0.4947331976301933,0.602126011190977,0.5347511292940693,0.5584912139847652,0.5384825281255537,0.47941941908149643,0.5269689491624724,0.6390614467942014,0.5594977578150455,0.5445217496913112,0.5234680286674109,0.4929274535956997,0.5327478043090452,0.6423728750822408,0.560636605911074,0.5570419544982126,0.5333983658575531
2019-12-10,0.32429109820002044,0.42207819847499783,0.49705496483221606,0.44569461199916766,0.5936099401387008,0.5758838322358231,0.4300838224772389,0.4913322501579777,0.5979005474937955,0.5326285626844961,0.5551836018198006,0.5385455794842745,0.4716405835135951,0.5210030835858497,0.6329051897535823,0.5586940073160993,0.5413527569630799,0.5232086641389951,0.4871492010391753,0.5275412785873078,0.6370912965221308,0.5587058389512047,0.5537222543086882,0.5329595758117431
2019-12-11,0.3228060267210315,0.3548670752897449,0.49210477887445386,0.43564840566459073,0.5937136753913198,0.5734661179945177,0.37889287084757806,0.4131266992585119,0.5954574833821707,0.5263307194755896,0.5555105599421573,0.5374558386661886,0.4067238793678416,0.4365603073438709,0.631855310198829,0.554865151670978,0.5416836668611957,0.5223218601352133,0.4244186713741703,0.44709461738234524,0.636258835042608,0.5553929771938999,0.5538061557916871,0.5319860293274017
2019-12-12,0.23453776426113673,0.3546621772057738,0.45359262962329855,0.4346340645798476,0.5938945420847112,0.5736694611308442,0.24442760458765272,0.40015424431848173,0.5736581966101333,0.5256254254698376,0.5548398275679944,0.5371386581630404,0.2512959732760353,0.4204733392632713,0.6161998915653918,0.554052701963573,0.5407087876368034,0.5218911400287488,0.24323426362459938,0.42634918741679156,0.6220822340243026,0.5546163726581247,0.5527847560897285,0.5315049213701433
2019-12-13,0.19970785208941533,0.27620728462857186,0.41143013103775156,0.43565988288069274,0.5936814356389486,0.5738273693624345,0.23073737068227607,0.3798460390871611,0.5116006898094654,0.525670166857834,0.5546852775044758,0.5370366846711854,0.23921432578047133,0.41205726712020535,0.5484067552836289,0.5540618999141452,0.5405535534411625,0.5217300296727583,0.2270457899008016,0.4157998260785566,0.5508069739456483,0.5546836640526269,0.5526223685367428,0.5313735106645167
2019-12-14,0.21589950436961275,0.2671494228870774,0.4147313142473036,0.4379814174072868,0.5936298674235754,0.5747208866060277,0.26099285411412015,0.36882020412381816,0.50713450359374,0.5282846514634066,0.5548988122802022,0.5381417702093187,0.26417072023490623,0.400973987356263,0.5413229814226667,0.5563966863141118,0.5408780300316383,0.5227056875342369,0.24769483741373569,0.40615070566053596,0.5434106315467419,0.5566655218340731,0.552892178615674,0.5321865868745314
2019-12-15,0.22415566752755797,0.2565212387065,0.36121612364418926,0.43427961652023056,0.5922646865789208,0.5749189891301679,0.29113228067015035,0.3675730371267663,0.49817530668593274,0.530390358606031,0.5558997263802024,0.5394420774383382,0.3043082128764633,0.40402934730267365,0.5443118458886108,0.5616926067246835,0.5430772769588287,0.5246070566805227,0.30844965371175637,0.4126500442394497,0.5483754430901167,0.5642111580976009,0.5560275527153596,0.5347627672915832
2019-12-16,0.2657266411156861,0.29078968846459763,0.379674828364938,0.44064157438160056,0.5961753124110549,0.5775181549767219,0.3010568900696668,0.3722400331099233,0.43975641921909847,0.53555161290734,0.558203170649885,0.5412765767853441,0.3003327107089762,0.4000266969304917,0.46389376797013954,0.5645523538584447,0.5443215564629573,0.5257754041288335,0.30492392653994127,0.40961703086939033,0.4698158821784319,0.5663638064484559,0.5571775468706371,0.5357897272995493
2019-12-17,0.3609930960780549,0.3514118729542188,0.4133345545827024,0.4564103756417913,0.6035788181761934,0.5827506493662047,0.37085062050871964,0.40156087775599786,0.45473250115582775,0.5452511544349702,0.5625386244149723,0.545334170776727,0.35143674917868456,0.4159042129447139,0.4713088919470995,0.5697988100780369,0.5470818467009216,0.528877009903986,0.34883853566705303,0.4238826844474351,0.4765169120654399,0.5701197704223206,0.5597659318235023,0.5385469618932364
