date,close,rv_cc_30d,iv_synthetic_30d,iv_premium_factor,vrp_30d,vrp_60d,vrp_90d,vrp_forward,forward_rv_30d,vrp_30d_roll_mean,vrp_30d_roll_std,vrp_zscore,vrp_percentile,regime_threshold,regime_change,days_since_regime_change
2020-06-27,9045.390625,0.4804354899764398,0.3719168320900945,-0.22587560692418238,-0.1085186578863453,-0.15093481109946372,-0.15446251789616894,-0.042036713111048896,0.4139535452011434,-0.1270722226376252,0.05878684056449939,0.09802960377037016,0.39285714285714285,MEDIUM,0,18
2020-06-28,9143.58203125,0.4815950250139209,0.37815021066030013,-0.21479626860894294,-0.10344481435362074,-0.12737547536805094,-0.1421044254785387,-0.03817249654030486,0.416322707200605,-0.13085618224655157,0.05302585926308152,0.13628728362408699,0.40476190476190477,MEDIUM,0,19
2020-06-29,9190.8544921875,0.471261469415363,0.37457729045104443,-0.20516037325152622,-0.09668417896431858,-0.12133662896848263,-0.13572562035355829,-0.04354210812054615,0.4181193985715906,-0.13445050111958112,0.0462959806841532,0.18727359918299458,0.42460317460317454,MEDIUM,0,20
2020-06-30,9137.9931640625,0.4640740824592363,0.3755146828909448,-0.19083030687470132,-0.08855939956829151,-0.11233566886562785,-0.12596400029357513,-0.0408155738491528,0.4163302567400976,-0.13776909679539762,0.03840636373111005,0.24855462059640693,0.46428571428571425,MEDIUM,0,21
2020-07-01,9228.3251953125,0.3846069756949209,0.31527496113071185,-0.1802671790831085,-0.06933201456420907,-0.10602151807811572,-0.11861510459295027,-0.10316793261675544,0.4184428937474673,-0.13315035915895476,0.03801204182280507,0.39365037698662797,0.5515873015873016,LOW,1,0
2020-07-02,9123.41015625,0.3161369266743639,0.2641354188062746,-0.1644904580275537,-0.05200150786808927,-0.09676933917929814,-0.10827659161770298,-0.16242943492064438,0.426564853726919,-0.12756203084301762,0.037170796545998946,0.5243962397453196,0.5992063492063492,LOW,0,1
2020-07-03,9087.3037109375,0.311744672552096,0.2678809849498872,-0.14070388835555375,-0.04386368760220877,-0.08278963928083638,-0.09250238304382397,-0.22297163093425387,0.4908526158841411,-0.1221113764255651,0.03705125098692897,0.5856875359297699,0.6428571428571428,LOW,0,2
2020-07-04,9132.48828125,0.3069166999409209,0.2691500553133736,-0.12305177474805734,-0.03776664462754731,-0.07235012274785108,-0.0808026605264911,-0.2230875601686873,0.4922376154820609,-0.11675874890483254,0.03725676928579974,0.6315452592060503,0.6626984126984127,LOW,0,3
2020-07-05,9073.9423828125,0.3044854360955607,0.2699331056983848,-0.11347777693489393,-0.03455233039717592,-0.06618656587045851,-0.07269059980658898,-0.22143578681484188,0.4913688925132267,-0.11155270432128614,0.037474800023691496,0.6556117173329341,0.6746031746031745,LOW,0,4
2020-07-06,9375.474609375,0.3278073393168797,0.29469424970929287,-0.10101387502973995,-0.033113089607586854,-0.0564836326120749,-0.06495853289328768,-0.20863026943069368,0.5033245191399865,-0.1069412295605364,0.038350783911047646,0.6662594676138159,0.6825396825396826,LOW,0,5
2020-07-07,9252.27734375,0.3276411036306741,0.29768001304694713,-0.09144484697347353,-0.02996109058372698,-0.05116053799653342,-0.058768550227787486,-0.20041011873950104,0.4980901317864482,-0.1022829056128936,0.03894630184886192,0.6898423256737998,0.6944444444444444,LOW,0,6
2020-07-08,9428.3330078125,0.335343840794479,0.30819984977848336,-0.08094375895405603,-0.027143991015995628,-0.04516628992759697,-0.05208552313556658,-0.19476376461773937,0.5029636143962227,-0.09806638929216012,0.04002697659095697,0.7108839780976923,0.7182539682539683,LOW,0,7
